# CPU: 
# System : 
# Linux 6.1.0-17-arm64 unknown
# Compiler : 
# g++ (Debian 12.2.0-14) 12.2.0
# Copyright (C) 2022 Free Software Foundation, Inc.
# This is free software; see the source for copying conditions.  There is NO
# warranty; not even for MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.
# 
# LIBC : 
# GNU objdump (GNU Binutils for Debian) 2.40
# Copyright (C) 2023 Free Software Foundation, Inc.
# This program is free software; you may redistribute it under the terms of
# the GNU General Public License version 3 or (at your option) any later version.
# This program has absolutely no warranty.
# Flags : 
# OBJECT_CXXFLAGS =  -O2 -I./lib -std=c++11 -Wall -march=armv8.5-a+memtag -fsanitize=hwaddress
# CXXFLAGS =  -I./lib -std=c++11 -Wall -march=armv8.5-a+memtag -fsanitize=hwaddress
# LDFLAGS = 
# 
acc-check-IBT                                                          result: 0               make time: 41325322 run-time: 100442 microsecondsfile_size:77808 bytes
acc-check-data-pointer-arithmetic-data                                 result: 0               make time: 42313859 run-time: 99521 microsecondsfile_size:78192 bytes
acc-check-data-pointer-arithmetic-heap                                 result: 0               make time: 42426644 run-time: 100992 microsecondsfile_size:78080 bytes
acc-check-data-pointer-arithmetic-rodata                               result: 0               make time: 42290097 run-time: 98301 microsecondsfile_size:78200 bytes
acc-check-data-pointer-arithmetic-stack                                result: 0               make time: 42409150 run-time: 93747 microsecondsfile_size:78008 bytes
acc-check-inter-obj-data-redzone                                       result: 0               make time: 50980004 run-time: 112461 microsecondsfile_size:79080 bytes
acc-check-inter-obj-heap-redzone                                       result: 0               make time: 62569340 run-time: 119500 microsecondsfile_size:78840 bytes
acc-check-inter-obj-rodata-redzone                                     result: 0               make time: 50976223 run-time: 111140 microsecondsfile_size:79216 bytes
acc-check-inter-obj-stack-redzone                                      result: 2               make time: 51809459 run-time: 112617 microsecondsfile_size:78352 bytes
acc-check-intra-obj-data-redzone                                       result: 0               make time: 51231198 run-time: 103284 microsecondsfile_size:78376 bytes
acc-check-intra-obj-heap-redzone                                       result: 0               make time: 51441400 run-time: 110775 microsecondsfile_size:78224 bytes
acc-check-intra-obj-rodata-redzone                                     result: 0               make time: 51071926 run-time: 107169 microsecondsfile_size:78280 bytes
acc-check-intra-obj-stack-redzone                                      result: 0               make time: 51142236 run-time: 104228 microsecondsfile_size:78224 bytes
acc-check-prog-ASLR                                                    result: 1               make time: 16632173 run-time: 217679 microsecondsfile_size:79736 bytes
acc-check-stack-region-ASLR                                            result: 1               make time: 513063 run-time: 268609 microsecondsfile_size:79736 bytes
acc-copy-stackra-to-heap-explicit-arith                                result: 99              make time: 16156453 run-time: 822080 microsecondsfile_size:78480 bytes
acc-copy-stackra-to-heap-implicit-arith                                result: 0               make time: 4864591 run-time: 110083 microsecondsfile_size:78200 bytes
acc-get-frame-size                                                     result: 0               make time: 12016712 run-time: 102803 microsecondsfile_size:77880 bytes
acc-get-ra-offset-v-p-g0                                               result: 0               make time: 10768750 run-time: 98165 microsecondsfile_size:78336 bytes
acc-get-ra-offset-v-p-g1                                               result: 0               make time: 511581 run-time: 94394 microsecondsfile_size:78336 bytes
acc-read-GOT                                                           result: 0               make time: 3648761 run-time: 99378 microsecondsfile_size:77856 bytes
acc-read-func                                                          result: 0               make time: 13420736 run-time: 97202 microsecondsfile_size:78080 bytes
cfi-call-fake-vtable                                                   result: 0               make time: 3731784 run-time: 109693 microsecondsfile_size:78048 bytes
cfi-call-fake-vtable-arg-num                                           result: 0               make time: 3721460 run-time: 102188 microsecondsfile_size:78152 bytes
cfi-call-fake-vtable-arg-type                                          result: 0               make time: 8616291 run-time: 109151 microsecondsfile_size:78152 bytes
cfi-call-fake-vtable-arg-type-modified                                 result: 0               make time: 8622357 run-time: 109320 microsecondsfile_size:78168 bytes
cfi-call-fake-vtable-with-func-data                                    result: 0               make time: 4067460 run-time: 108972 microsecondsfile_size:78168 bytes
cfi-call-fake-vtable-with-func-heap                                    result: 0               make time: 511646 run-time: 108831 microsecondsfile_size:78168 bytes
cfi-call-fake-vtable-with-func-stack                                   result: 0               make time: 510438 run-time: 104418 microsecondsfile_size:78168 bytes
cfi-call-instruction-in-data                                           result: 16              make time: 12205807 run-time: 219652 microsecondsfile_size:78776 bytes
